Designator,Mid X,Mid Y,Rotation,Layer
C1,27.53,-36.3,0.0,top
C13,30.025,-24.575,90.0,top
C14,23.35,-22.375,90.0,top
C15,24.475,-22.375,90.0,top
C16,25.6,-22.38,90.0,top
C2,18.975,-38.2,0.0,top
C3,20.675,-21.7,180.0,top
C4,12.725,-16.7,90.0,top
C5,12.775,-25.705,270.0,top
C6,30.62,-28.85,0.0,top
C7,30.67,-29.95,0.0,top
C8,30.6,-27.7,0.0,top
D1,29.55,-35.275,180.0,top
IC1,17.6,-17.025,180.0,top
J1,27.095,-17.165,180.0,top
J2,14.175,-37.98,0.0,top
R1,19.025,-36.725,0.0,top
R2,14.25,-34.725,90.0,top
R3,27.225,-23.21,270.0,top
R4,28.5,-23.215,270.0,top
R5,29.64,-36.35,0.0,top
U1,25.15,-30.1625,90.0,top
U2,16.325,-28.875,0.0,top
Y1,23.175,-37.275,180.0,top
